Tratamiento;trat;bloque;plot;date;label;obs;exp.flux;t1;v1;v4;soilmo.perc;tcham;pressure;h20;co2;cdry;rh;tbench;fitstatus;licor
72h;C;4;14;28/4/2017 12:05;d;42;5;26,06;2,09;;54,4;30,2;99,29;32,171;431,14;445,47;74,1;51,5;Exp 2;1
72h;C;4;14;28/4/2017 12:12;b;43;3,6;25,81;2,081;;54,4;30,07;99,28;32,815;424,78;439,19;76,13;51,51;Exp 2;1
72h;C;4;14;28/4/2017 12:15;b;44;3,31;25,74;2,075;;54,4;29,88;99,29;32,983;429,19;443,83;77,42;51,5;Lin;1
72h;C;4;14;28/4/2017 12:18;b;45;3,3;25,66;2,071;;54,4;29,84;99,27;32,9;430,34;444,97;77,34;51,5;Lin;1
72h;P;4;15;28/4/2017 10:31;a;28;3,55;26,23;2,358;;54,2;28,53;99,42;34,455;524,27;542,98;87,52;51,5;Exp 2;1
72h;P;4;15;28/4/2017 10:34;a;29;3,7;25,95;2,356;;54,2;28,91;99,43;32,463;423,05;437,24;80,65;51,49;Exp 2;1
72h;P;4;15;28/4/2017 10:37;a;30;3,39;25,95;2,354;;54,2;28,86;99,42;32,141;431,2;445,52;80,12;51,5;Exp 2;1
72h;P;4;15;28/4/2017 10:45;d;31;3,99;26,1;2,031;;54,4;29,01;99,39;33,387;452,66;468,29;82,45;51,49;Exp;1
72h;P;4;15;28/4/2017 10:48;d;32;3,88;26,06;2,029;;54,4;28,95;99,4;33,013;448,95;464,28;81,74;51,5;Lin;1
72h;P;4;15;28/4/2017 10:51;d;33;4,14;25,99;2,028;;54,4;29,03;99,39;32,254;429,58;443,89;79,53;51,51;Exp;1
72h;P;4;15;28/4/2017 11:04;b;34;4,24;26,13;1,801;;54,5;29,72;99,37;31,662;467,25;482,53;74,97;51,5;Exp 2;1
72h;P;4;15;28/4/2017 11:07;b;35;4,7;26,11;1,795;;54,5;29,61;99,38;32,079;419,19;433,09;76,46;51,5;Exp 2;1
72h;P;4;15;28/4/2017 11:10;b;36;4,37;26,1;1,792;;54,5;29,67;99,38;31,963;420,22;434,09;75,96;51,5;Lin;1
72h;P;5;16;28/4/2017 10:38;a;20;4,71;26,57;;;55,4;29,37;99,33;35,163;476,97;494,35;84,97;51,33;Exp 2;2
72h;P;5;16;28/4/2017 10:41;a;21;4,82;26,31;;;55,4;29,34;99,34;34,838;464,28;481,03;84,34;51,34;Lin;2
72h;P;5;16;28/4/2017 10:44;a;22;4,67;26,07;;;55,4;29,32;99,35;34,598;477,83;494,96;83,86;51,34;Exp 2;2
72h;P;5;16;28/4/2017 10:54;d;23;2,32;26,07;;;55,4;29,75;99,27;34,254;434,23;449,64;80,93;51,34;Exp;2
72h;P;5;16;28/4/2017 10:57;d;24;2,21;25,99;;;55,4;29,66;99,27;34,904;445,5;461,61;82,88;51,36;Lin;2
72h;P;5;16;28/4/2017 11:00;d;25;2,22;26,06;;;55,4;29,68;99,26;35,163;443,83;460;83,39;51,34;Lin;2
72h;P;5;16;28/4/2017 11:07;b;26;4,59;29,63;;;55,4;30,5;99,27;35,515;446,49;462,92;80,33;51,34;Exp 2;2
72h;P;5;16;28/4/2017 11:10;b;27;4,25;26,3;;;55,4;30,11;99,28;35,411;456,47;473,22;81,97;51,36;Exp 2;2
72h;P;5;16;28/4/2017 11:13;b;28;4,11;26,18;;;55,4;30;99,28;34,453;442,25;458,03;80,25;51,35;Lin;2
72h;NP;5;18;28/4/2017 09:31;b;19;7,28;26,6;2;;54,4;27,44;99,44;32,942;513,97;531,48;89,18;51,52;Lin;1
72h;NP;5;18;28/4/2017 09:34;b;20;7,08;26,43;2;;54,4;27,41;99,46;32,889;499,98;516,99;89,22;51,5;Lin;1
72h;NP;5;18;28/4/2017 09:37;b;21;6,9;26,45;2;;54,4;27,43;99,45;32,504;473,89;489,81;88,05;51,51;Lin;1
72h;NP;5;18;28/4/2017 09:45;a;22;4,99;26,1;2,189;;54,3;28,38;99,42;30,644;408,45;421,36;78,46;51,51;Exp 2;1
72h;NP;5;18;28/4/2017 09:54;a;23;4,56;25,95;2,148;;54,3;28,48;99,43;33,086;456,7;472,33;84,25;51,49;Exp 2;1
72h;NP;5;18;28/4/2017 09:57;a;24;4,69;26,01;2,149;;54,3;28,49;99,44;33,476;462,42;478,44;85,22;51,5;Exp 2;1
72h;NP;5;18;28/4/2017 10:06;d;25;3,8;25,98;2,277;;54,3;28,28;99,43;33,571;465,69;481,86;86,47;51,51;Exp 2;1
72h;NP;5;18;28/4/2017 10:09;d;26;3,71;25,85;2,295;;54,3;28,19;99,41;33,883;476,55;493,26;87,77;51,5;Exp 2;1
72h;NP;5;18;28/4/2017 10:12;d;27;3,65;25,85;2,294;;54,3;28,1;99,42;33,085;461,56;477,36;86,15;51,5;Exp 2;1
72h;C;5;19;28/4/2017 08:41;b;10;3,23;25,69;1,885;;54,5;26,72;99,43;31,68;541,46;559,17;89,41;51,52;Exp 3;1
72h;C;5;19;28/4/2017 08:44;b;11;2,84;25,8;1,884;;54,5;26,7;99,44;31,925;547,57;565,62;90,26;51,51;Exp 2;1
72h;C;5;19;28/4/2017 08:47;b;12;3,03;25,78;1,883;;54,5;26,77;99,45;32,075;558,11;576,6;90,38;51,49;Exp 2;1
72h;C;5;19;28/4/2017 08:54;d;13;3,34;25,96;2,043;;54,4;26,79;99,44;32,149;542,34;560,35;90,41;51,49;Lin;1
72h;C;5;19;28/4/2017 08:57;d;14;3,33;25,92;2,041;;54,4;26,77;99,43;32,249;555,42;573,93;90,85;51,51;Exp 2;1
72h;C;5;19;28/4/2017 09:00;d;15;3,34;25,92;2,04;;54,4;26,77;99,44;32,366;554,84;573,4;91,2;51,5;Exp 2;1
72h;C;5;19;28/4/2017 09:08;a;16;3;26,05;2,461;;54,2;26,95;99,44;32,491;524,37;541,98;90,58;51,51;Exp 2;1
72h;C;5;19;28/4/2017 09:11;a;17;2,77;26;2,46;;54,2;26,93;99,45;32,458;498,03;514,74;90,54;51,5;Lin;1
72h;C;5;19;28/4/2017 09:14;a;18;2,75;25,96;2,459;;54,2;27,01;99,45;32,62;496,72;513,47;90,59;51,51;Exp 2;1
72h;NP;4;20;28/4/2017 11:41;a;29;3,73;26,15;;;55,4;31,34;99,21;35,895;446,56;463,19;77,33;51,35;Lin;2
72h;NP;4;20;28/4/2017 11:44;a;30;3,7;25,99;;;55,4;31,15;99,22;34,722;439,67;455,48;75,63;51,34;Lin;2
72h;NP;4;20;28/4/2017 11:47;a;31;3,66;26,23;;;55,4;31,67;99,23;34,758;436,95;452,68;73,5;51,36;Exp 2;2
72h;NP;4;20;28/4/2017 11:53;d;32;5,67;26,75;;;55,4;30,99;99,22;36,496;467,32;485,03;80,3;51,35;Lin;2
72h;NP;4;20;28/4/2017 11:56;d;33;5,56;26,16;;;55,4;30,59;99,23;35,888;465,79;483,13;80,73;51,35;Exp 2;2
72h;NP;4;20;28/4/2017 11:59;d;34;5,6;26,01;;;55,4;30,53;99,22;35,034;446,28;462,48;79,17;51,36;Exp 2;2
72h;NP;4;20;28/4/2017 12:08;b;35;4,95;25,83;;;55,4;30,4;99,19;35,311;460,75;477,62;80,21;51,34;Exp 2;2
72h;NP;4;20;28/4/2017 12:11;b;36;4,21;25,7;;;55,4;30,04;99,18;35,917;464,22;481,51;83,35;51,36;Lin;2
72h;NP;4;20;28/4/2017 12:15;b;37;4,2;25,71;;;55,4;30,05;99,19;35,308;455,36;472,02;81,89;51,36;Lin;2
72h;P;6;21;28/4/2017 08:44;a;10;4,8;29,61;;;55,4;26,84;99,37;33,71;573,91;593,92;94,48;51,54;Exp 3;2
72h;P;6;21;28/4/2017 08:47;a;11;3,37;25,87;;;55,4;26,72;99,38;33,365;573,64;593,44;94,17;51,35;Exp 2;2
72h;P;6;21;28/4/2017 08:50;a;12;3,39;25,82;;;55,4;26,71;99,36;33,568;595,52;616,2;94,79;51,35;Exp 2;2
72h;P;6;21;28/4/2017 08:54;a;13;3,38;25,6;;;55,4;26,74;99,36;33,327;564,52;583,98;93,93;51,34;Lin;2
72h;P;6;21;28/4/2017 09:02;d;14;2,65;25,87;;;55,4;26,8;99,39;33,653;597,5;618,31;94,52;51,35;Lin;2
72h;P;6;21;28/4/2017 09:05;d;15;2,66;25,78;;;55,4;26,72;99,37;33,654;586,29;606,71;94,92;51,35;Lin;2
72h;P;6;21;28/4/2017 09:08;d;16;2,77;25,66;;;55,4;26,73;99,38;33,731;585,46;605,9;95,14;51,33;Exp 2;2
72h;P;6;21;28/4/2017 09:15;b;17;3,59;26,02;;;55,4;27,21;99,36;33,894;543,6;562,67;92,9;51,34;Exp 2;2
72h;P;6;21;28/4/2017 09:18;b;18;3,06;25,82;;;55,4;27,25;99,35;34,042;536,95;555,87;93,09;51,35;Lin;2
72h;P;6;21;28/4/2017 09:21;b;19;3,17;25,9;;;55,4;27,27;99,35;33,665;489,66;506,72;91,95;51,33;Exp 2;2
72h;NP;6;23;28/4/2017 07:30;b;1;4,48;25,97;1,93;;54,4;25,02;99,51;29,469;600,77;619,01;92,15;51,49;Lin;1
72h;NP;6;23;28/4/2017 07:33;b;2;4,7;26,22;1,93;;54,4;25,05;99,51;29,716;622,99;642,07;92,76;51,5;Exp;1
72h;NP;6;23;28/4/2017 07:36;b;3;5,03;26,11;1,927;;54,4;25,05;99,52;29,675;588,89;606,9;92,61;51,49;Exp;1
72h;NP;6;23;28/4/2017 07:44;d;4;4,38;25,88;1,999;;54,4;25,14;99,53;29,728;568;585,4;92,29;51,5;Exp;1
72h;NP;6;23;28/4/2017 07:47;d;5;4,39;25,82;1,996;;54,4;25,14;99,53;29,784;572,42;590;92,45;51,5;Exp;1
72h;NP;6;23;28/4/2017 07:50;d;6;4,36;25,71;1,995;;54,4;25,14;99,54;29,755;554,69;571,7;92,37;51,51;Exp;1
72h;NP;6;23;28/4/2017 07:57;a;7;5,83;26,14;2,399;;54,2;25,41;99,54;30,407;617,86;637,24;92,9;51,5;Lin;1
72h;NP;6;23;28/4/2017 08:00;a;8;5,51;26,06;2,398;;54,2;25,42;99,54;30,616;652,43;673,03;93,48;51,5;Lin;1
72h;NP;6;23;28/4/2017 08:03;a;9;5,55;26,07;2,394;;54,2;25,45;99,53;30,66;618,58;638,14;93,47;51,5;Lin;1
72h;C;6;24;28/4/2017 07:30;b;1;4,37;26,25;;;55,4;25,03;99,42;30,513;582,92;601,27;95,27;51,34;Lin;2
72h;C;6;24;28/4/2017 07:33;b;2;4,62;26,24;;;55,4;25,09;99,41;31,025;611,24;630,81;96,51;51,34;Exp 2;2
72h;C;6;24;28/4/2017 07:36;b;3;4,42;26,22;;;55,4;25,12;99,42;31,111;596,73;615,89;96,58;51,33;Exp 2;2
72h;C;6;24;28/4/2017 07:53;d;4;2,92;25,75;;;55,4;25,3;99,41;31,311;613,39;633,21;96,16;51,35;Lin;2
72h;C;6;24;28/4/2017 07:56;d;5;3,02;26,18;;;55,4;25,38;99,39;31,497;603,21;622,83;96,24;51,35;Lin;2
72h;C;6;24;28/4/2017 07:59;d;6;3,02;25,76;;;55,4;25,45;99,4;31,639;586,28;605,43;96,29;51,35;Exp 2;2
72h;C;6;24;28/4/2017 08:07;a;7;3,82;25,7;;;55,4;25,77;99,38;31,942;569,05;587,83;95,34;51,35;Exp 2;2
72h;C;6;24;28/4/2017 08:10;a;8;3,46;25,68;;;55,4;25,75;99,4;32,217;589,12;608,73;96,27;51,35;Exp 2;2
72h;C;6;24;28/4/2017 08:13;a;9;3,55;25,6;;;55,4;25,82;99,4;32,379;589,94;609,68;96,41;51,34;Exp 2;2
9d;N;1;1;5/5/2017 06:16;a;1;5,24;25,81;;;55,4;24,92;99,15;30,912;596,01;615,02;96,9;51,35;Exp;2
9d;N;1;1;5/5/2017 06:19;a;2;5,02;25,96;;;55,4;24,9;99,14;30,911;619;638,75;96,99;51,35;Lin;2
9d;N;1;1;5/5/2017 06:22;a;3;5,37;25,84;;;55,4;24,88;99,16;31,003;621,03;640,9;97,39;51,35;Exp;2
9d;N;1;1;5/5/2017 06:29;d;4;3,7;25,76;;;55,4;24,75;99,2;30,775;609,69;629,05;97,51;51,34;Exp;2
9d;N;1;1;5/5/2017 06:32;d;5;3,94;25,63;;;55,4;24,76;99,22;30,829;604,56;623,79;97,6;51,35;Exp;2
9d;N;1;1;5/5/2017 06:35;d;6;3,88;25,52;;;55,4;24,75;99,23;30,83;588,67;607,39;97,67;51,35;Exp;2
9d;N;1;1;5/5/2017 06:41;b;7;5,52;25,55;;;55,4;24,86;99,21;31,198;648,92;669,81;98,17;51,35;Lin;2
9d;N;1;1;5/5/2017 06:44;b;8;5,28;25,79;;;55,4;24,88;99,22;31,314;633,4;653,87;98,46;51,35;Exp;2
9d;N;1;1;5/5/2017 06:47;b;9;5,03;25,74;;;55,4;24,86;99,24;31,302;630,76;651,15;98,53;51,36;Lin;2
9d;C;1;2;5/5/2017 05:28;d;4;6,15;25,88;1,83;;54,5;24,62;99,3;29,514;605,73;624,15;94,31;51,5;Lin;1
9d;C;1;2;5/5/2017 05:31;d;5;6,25;25,83;1,83;;54,5;24,68;99,31;29,694;615,64;634,48;94,53;51,51;Exp;1
9d;C;1;2;5/5/2017 05:34;d;6;6,59;25,88;1,83;;54,5;24,68;99,31;29,768;605,36;623,94;94,8;51,5;Exp;1
9d;C;1;2;5/5/2017 06:17;a;1;2,5;25,87;2,428;;54,2;24,57;99,24;29,395;568,66;585,88;94,16;51,49;Lin;1
9d;C;1;2;5/5/2017 06:20;a;2;2,61;25,38;2,43;;54,2;24,55;99,27;29,468;566,99;584,21;94,55;51,5;Exp;1
9d;C;1;2;5/5/2017 06:23;a;3;2,56;25,49;2,432;;54,2;24,58;99,27;29,59;581,29;599,01;94,68;51,51;Lin;1
9d;C;1;2;5/5/2017 06:41;b;7;4,99;25,77;1,695;;54,6;24,77;99,3;29,888;570,79;588,37;94,66;51,52;Lin;1
9d;C;1;2;5/5/2017 06:44;b;8;5,05;25,81;1,694;;54,6;24,79;99,29;29,961;581,26;599,22;94,77;51,49;Exp;1
9d;C;1;2;5/5/2017 06:47;b;9;4,68;25,7;1,694;;54,6;24,79;99,3;30,01;577,26;595,12;94,94;51,5;Exp;1
9d;NP;1;3;5/5/2017 07:08;a;10;10,67;26,17;;;55,4;25,01;99,21;31,408;621,66;641,81;97,93;51,36;Exp;2
9d;NP;1;3;5/5/2017 07:11;a;11;10,07;26,12;;;55,4;25,06;99,23;31,598;628,3;648,81;98,27;51,36;Exp;2
9d;NP;1;3;5/5/2017 07:14;a;12;9,8;26,34;;;55,4;25,09;99,21;31,71;635,39;656,19;98,42;51,35;Exp;2
9d;NP;1;3;5/5/2017 07:20;b;13;4,3;26,06;;;55,4;25,29;99,27;31,871;601,21;621,01;97,8;51,35;Exp;2
9d;NP;1;3;5/5/2017 07:23;b;14;3,92;25,74;;;55,4;25,3;99,28;32,009;601,8;621,7;98,21;51,35;Lin;2
9d;NP;1;3;5/5/2017 07:26;b;15;4,04;26,08;;;55,4;25,31;99,29;32,084;596,49;616,26;98,36;51,35;Exp;2
9d;NP;1;3;5/5/2017 07:32;d;16;3,93;25,77;;;55,4;25,31;99,3;32,104;629,36;650,24;98,43;51,34;Lin;2
9d;NP;1;3;5/5/2017 07:35;d;17;4,49;25,59;;;55,4;25,28;99,31;32,117;618,23;638,75;98,65;51,36;Exp;2
9d;NP;1;3;5/5/2017 07:38;d;18;3,88;25,37;;;55,4;25,28;99,32;32,128;609,15;629,37;98,69;51,36;Lin;2
9d;P;1;4;5/5/2017 07:05;a;10;3,83;25,81;1,948;;54,4;24,99;99,3;30,184;724,12;746,66;94,31;51,5;Exp;1
9d;P;1;4;5/5/2017 07:08;a;11;4,44;25,68;1,949;;54,4;24,92;99,32;30,22;551,7;568,89;94,86;51,51;Exp;1
9d;P;1;4;5/5/2017 07:11;a;12;3,87;25,72;1,951;;54,4;25;99,32;30,339;602,81;621,67;94,78;51,49;Exp;1
9d;P;1;4;5/5/2017 07:14;a;13;3,73;25,93;1,951;;54,4;25,02;99,33;30,428;587,8;606,25;94,96;51,51;Lin;1
9d;P;1;4;5/5/2017 07:21;b;14;6,59;26,04;2,011;;54,4;25,16;99,37;30,521;594,73;613,45;94,49;51,52;Exp;1
9d;P;1;4;5/5/2017 07:25;b;15;6,19;26,01;2,018;;54,4;25,13;99,37;30,588;554,34;571,84;94,81;51,51;Exp;1
9d;P;1;4;5/5/2017 07:28;b;16;5,73;25,92;2,02;;54,4;25,16;99,38;30,675;568,53;586,53;94,99;51,5;Exp;1
9d;P;1;4;5/5/2017 07:31;b;17;5,51;25,89;2,022;;54,4;25,16;99,39;30,689;565,42;583,32;95,06;51,5;Lin;1
9d;P;1;4;5/5/2017 07:37;c;18;3,52;25,54;2,518;;54,2;25,18;99,4;30,562;524,29;540,82;94,52;51,5;Exp;1
9d;P;1;4;5/5/2017 07:40;c;19;3,32;25,57;2,519;;54,2;25,18;99,39;30,547;542,69;559,8;94,5;51,51;Lin;1
9d;P;1;4;5/5/2017 07:43;c;20;3,34;25,51;2,52;;54,2;25,19;99,38;30,627;563,99;581,81;94,65;51,53;Exp;1
9d;NP;2;5;5/5/2017 07:53;a;19;5,22;25,92;;;;25,43;99,28;32,111;565,9;584,67;97,75;51,35;Exp;2
9d;NP;2;5;5/5/2017 07:56;a;20;4,74;25,64;;;;25,44;99,3;32,233;574,6;593,74;98,06;51,36;Exp;2
9d;NP;2;5;5/5/2017 07:59;a;21;4,61;25,86;;;;25,44;99,29;32,235;556,24;574,77;98,06;51,36;Lin;2
9d;NP;2;5;5/5/2017 08:05;b;22;3,68;25,74;;;;25,54;99,32;32,325;558,98;577,65;97,72;51,34;Exp;2
9d;NP;2;5;5/5/2017 08:08;b;23;3,67;25,71;;;;25,5;99,32;32,334;552,16;570,61;97,98;51,33;Exp;2
9d;NP;2;5;5/5/2017 08:11;b;24;3,51;25,7;;;;25,49;99,31;32,304;552,65;571,09;97,95;51,36;Exp;2
9d;NP;2;5;5/5/2017 08:17;d;25;4,99;25,95;;;;25,58;99,34;32,392;575,63;594,9;97,77;51,34;Lin;2
9d;NP;2;5;5/5/2017 08:20;d;26;5,31;25,95;;;;25,59;99,35;32,506;589,33;609,12;98,12;51,33;Exp;2
9d;NP;2;5;5/5/2017 08:23;d;27;5,11;25,8;;;;25,61;99,35;32,602;592,92;612,9;98,23;51,35;Exp;2
9d;P;2;6;5/5/2017 08:42;a;30;8,03;26,15;1,754;;54,5;25,9;99,42;31,826;786,52;812,37;94,31;51,5;Exp;1
9d;P;2;6;5/5/2017 08:45;a;31;8,74;26;1,756;;54,5;25,85;99,42;31,85;554,39;572,64;94,68;51,5;Exp;1
9d;P;2;6;5/5/2017 08:48;a;32;7,76;26,03;1,763;;54,5;25,89;99,42;31,937;589,59;609,04;94,72;51,5;Exp;1
9d;P;2;6;5/5/2017 08:52;a;33;7,16;26,12;1,765;;54,5;25,94;99,45;32,052;627,89;648,68;94,8;51,51;Lin;1
9d;P;2;6;5/5/2017 08:58;b;34;4,5;25,92;2,196;;54,3;26,05;99,43;32,078;549,77;567,99;94,19;51,52;Exp;1
9d;P;2;6;5/5/2017 09:01;b;35;4,34;25,89;2,2;;54,3;26,04;99,43;32,158;561,98;580,65;94,49;51,5;Exp;1
9d;P;2;6;5/5/2017 09:04;b;36;4,24;25,84;2,202;;54,3;26,04;99,42;32,208;549,63;567,92;94,61;51,52;Lin;1
9d;P;2;6;5/5/2017 09:09;c;37;4,52;25,79;2,06;;54,4;26,11;99,43;32,178;529,87;547,49;94,19;51,51;Exp;1
9d;P;2;6;5/5/2017 09:12;c;38;3,96;25,68;2,06;;54,4;26,1;99,44;32,236;518,43;535,7;94,44;51,51;Lin;1
9d;P;2;6;5/5/2017 09:15;c;39;3,72;25,63;2,061;;54,4;26,12;99,41;32,321;581,44;600,86;94,54;51,5;Exp;1
9d;P;2;6;5/5/2017 09:18;c;40;3,67;25,69;2,061;;54,4;26,14;99,42;32,358;572,28;591,42;94,56;51,51;Exp;1
9d;C;2;7;5/5/2017 08:44;a;28;3,6;25,59;;;55,4;25,84;99,36;32,822;610,86;631,6;97,63;51,34;Lin;2
9d;C;2;7;5/5/2017 08:47;a;29;3,59;25,53;;;55,4;25,81;99,39;32,801;577,31;596,89;97,68;51,34;Lin;2
9d;C;2;7;5/5/2017 08:50;a;30;3,65;25,55;;;55,4;25,82;99,38;32,814;553,39;572,16;97,69;51,36;Exp;2
9d;C;2;7;5/5/2017 08:56;d;31;3,45;25,65;;;55,4;25,92;99,36;32,951;552,13;570,94;97,48;51,34;Lin;2
9d;C;2;7;5/5/2017 08:59;d;32;3,29;25,54;;;55,4;25,89;99,37;32,982;550,06;568,82;97,75;51,35;Lin;2
9d;C;2;7;5/5/2017 09:02;d;33;3,39;25,55;;;55,4;25,91;99,37;32,978;541,6;560,07;97,59;51,35;Exp;2
9d;C;2;7;5/5/2017 09:08;b;34;4,94;25,81;;;55,4;26,04;99,38;33,088;553,46;572,4;97,28;51,35;Lin;2
9d;C;2;7;5/5/2017 09:11;b;35;4,82;25,76;;;55,4;26,03;99,38;33,12;525,85;543,87;97,37;51,36;Lin;2
9d;C;2;7;5/5/2017 09:14;b;36;4,69;25,68;;;55,4;26,03;99,37;33,194;534,84;553,21;97,53;51,34;Lin;2
9d;C;3;8;5/5/2017 09:38;a;37;4,76;25,62;;;55,4;26,43;99,29;33,77;593,82;614,58;96,84;51,37;Exp;2
9d;C;3;8;5/5/2017 09:41;a;38;4,02;25,41;;;55,4;26,37;99,3;33,829;647,08;669,74;97,36;51,35;Lin;2
9d;C;3;8;5/5/2017 09:44;a;39;4,27;25,61;;;55,4;26,38;99,31;33,818;577,68;597,9;97,31;51,34;Exp;2
9d;C;3;8;5/5/2017 09:50;b;40;4,1;25,68;;;55,4;26,41;99,31;33,71;589,34;609,9;96,81;51,34;Exp;2
9d;C;3;8;5/5/2017 09:53;b;41;3,96;25,48;;;55,4;26,37;99,33;33,756;578,4;598,61;97,21;51,35;Exp;2
9d;C;3;8;5/5/2017 09:56;b;42;3,8;25,47;;;55,4;26,39;99,32;33,81;564,7;584,46;97,25;51,35;Exp;2
9d;C;3;8;5/5/2017 10:02;c;43;4,29;25,53;;;55,4;26,53;99,3;33,93;546,22;565,41;96,76;51,34;Exp;2
9d;C;3;8;5/5/2017 10:05;c;44;4;25,56;;;55,4;26,55;99,32;34,105;550,14;569,57;97,15;51,36;Exp;2
9d;C;3;8;5/5/2017 10:08;c;45;3,97;25,54;;;55,4;26,56;99,3;34,115;553,9;573,46;97,11;51,35;Exp;2
9d;P;3;9;5/5/2017 09:38;a;41;6,21;26,17;1,985;;54,4;26,36;99,38;32,58;567,52;586,63;93,94;51,53;Lin;1
9d;P;3;9;5/5/2017 09:41;a;42;6,38;25,83;1,984;;54,4;26,36;99,39;32,619;551;569,58;94,06;51,49;Exp;1
9d;P;3;9;5/5/2017 09:44;a;43;6,01;25,88;1,984;;54,4;26,37;99,39;32,678;576,44;595,92;94,17;51,51;Lin;1
9d;P;3;9;5/5/2017 09:50;d;44;4,8;25,68;2,25;;54,3;26,51;99,4;32,728;548,7;567,27;93,53;51,52;Lin;1
9d;P;3;9;5/5/2017 09:53;d;45;5,02;25,63;2,251;;54,3;26,47;99,38;32,717;534,36;552,44;93,74;51,52;Exp;1
9d;P;3;9;5/5/2017 09:56;d;46;5;25,57;2,251;;54,3;26,46;99,4;32,681;517,66;535,15;93,69;51,5;Exp;1
9d;P;3;9;5/5/2017 10:02;b;47;4,18;25,68;1,988;;54,4;26,52;99,38;32,679;499,38;516,26;93,34;51,51;Exp;1
9d;P;3;9;5/5/2017 10:05;b;48;3,79;25,62;1,988;;54,4;26,54;99,39;32,894;544,53;563,05;93,84;51,51;Exp;1
9d;P;3;9;5/5/2017 10:08;b;49;4,46;25,6;1,988;;54,4;26,57;99,38;32,858;485,45;501,94;93,51;51,51;Exp;1
9d;P;3;9;5/5/2017 10:11;b;50;3,82;25,61;1,988;;54,4;26,64;99,38;33,017;503,98;521,19;93,64;51,5;Exp;1
9d;N;3;10;5/5/2017 10:28;b;51;4,84;25,8;2,361;;54,2;26,93;99,36;33,213;491,69;508,58;92,58;51,49;Exp;1
9d;N;3;10;5/5/2017 10:31;b;52;4,46;25,69;2,365;;54,2;26,86;99,37;33,098;506,48;523,81;92,65;51,51;Exp;1
9d;N;3;10;5/5/2017 10:34;b;53;4,37;25,73;2,365;;54,2;26,84;99,38;33,098;506,54;523,89;92,77;51,51;Exp;1
9d;N;3;10;5/5/2017 10:40;d;54;4,15;25,73;2,234;;54,3;26,87;99,37;33,214;513,01;530,63;92,91;51,5;Lin;1
9d;N;3;10;5/5/2017 10:43;d;55;4,05;25,67;2,225;;54,3;26,83;99,36;33,305;547,09;565,94;93,39;51,49;Exp;1
9d;N;3;10;5/5/2017 10:46;d;56;4,24;25,61;2,22;;54,3;26,79;99,38;33,071;497,2;514,2;92,95;51,5;Exp;1
9d;N;3;10;5/5/2017 10:52;a;57;3,98;25,66;2,161;;54,3;26,8;99,4;33,065;530,02;548,15;92,91;51,49;Exp;1
9d;N;3;10;5/5/2017 10:55;a;58;3,91;25,65;2,161;;54,3;26,77;99,4;33,05;535,33;553,64;93,03;51,51;Lin;1
9d;N;3;10;5/5/2017 10:58;a;59;3,86;25,61;2,161;;54,3;26,77;99,4;33,129;567,44;586,89;93,29;51,51;Exp;1
9d;NP;3;11;5/5/2017 10:22;d;46;4,34;25,69;;;55,4;27,08;99,26;34,649;517,43;536;95,63;51,35;Lin;2
9d;NP;3;11;5/5/2017 10:29;d;47;4,9;25,66;;;55,4;27,06;99,27;33,915;457,69;473,76;93,69;51,39;Exp;2
9d;NP;3;11;5/5/2017 10:32;d;48;4,21;25,55;;;55,4;27,01;99,28;34,467;485,65;502,98;95,52;51,36;Exp;2
9d;NP;3;11;5/5/2017 10:35;d;49;4,08;25,54;;;55,4;27;99,29;34,111;484,92;502,05;94,62;51,36;Exp;2
9d;NP;3;11;5/5/2017 10:42;c;50;4,11;25,82;;;55,4;27,1;99,29;34,836;543,58;563,2;96,06;51,34;Exp;2
9d;NP;3;11;5/5/2017 10:45;c;51;4,46;25,74;;;55,4;27,06;99,31;34,61;506,26;524,41;95,63;51,34;Exp;2
9d;NP;3;11;5/5/2017 10:48;c;52;4,08;25,74;;;55,4;27,04;99,3;34,77;520,5;539,24;96,22;51,36;Lin;2
9d;NP;3;11;5/5/2017 10:57;b;53;3,54;26,03;;;55,4;26,99;99,28;34,346;533,1;552,06;95,32;51,33;Exp;2
9d;NP;3;11;5/5/2017 11:00;b;54;3,49;25,76;;;55,4;26,94;99,28;34,361;542,49;561,79;95,64;51,35;Lin;2
9d;NP;3;11;5/5/2017 11:03;b;55;3,37;25,72;;;55,4;26,94;99,29;34,498;548,05;567,63;95,98;51,36;Lin;2
9d;N;2;12;5/5/2017 08:00;a;21;8,8;25,52;2,258;;54,3;25,44;99,38;30,99;626,08;646,11;94,36;51,51;Exp;1
9d;N;2;12;5/5/2017 08:03;a;22;8,38;25,92;2,261;;54,3;25,44;99,4;31,081;593,64;612,68;94,65;51,51;Exp;1
9d;N;2;12;5/5/2017 08:06;a;23;8,01;25,86;2,263;;54,3;25,46;99,4;31,168;593,88;612,99;94,8;51,51;Lin;1
9d;N;2;12;5/5/2017 08:11;c;24;4,88;25,94;2,17;;54,3;25,54;99,41;31,13;554,88;572,71;94,28;51,51;Exp;1
9d;N;2;12;5/5/2017 08:14;c;25;4,41;25,77;2,174;;54,3;25,54;99,42;31,229;568,64;586,97;94,59;51,5;Exp;1
9d;N;2;12;5/5/2017 08:17;c;26;4,29;25,8;2,175;;54,3;25,56;99,43;31,283;574,06;592,59;94,64;51,5;Exp;1
